"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AKT1",0.000439992946770931,0.250903750747543,0.77,0.632,1,"14","AKT1"
"OSTC1",0.00162597106130529,0.26738198570867,0.683,0.573,1,"14","OSTC"
"COPG1",0.00248306438808703,0.254748688032428,0.619,0.504,1,"14","COPG1"
"PTX32",1.06188513571671e-40,2.3544356853016,0.984,0.425,2.22464935932651e-36,"15","PTX3"
"TNFAIP2",4.95315583621843e-39,1.46916333047698,0.857,0.232,1.03768614768776e-34,"15","TNFAIP2"
"CCL23",2.10750842281956e-38,2.29569520079625,0.968,0.459,4.41523014580699e-34,"15","CCL2"
"SOD22",3.29013152501296e-38,2.53624075290812,1,0.889,6.89282554490215e-34,"15","SOD2"
"DKK14",7.17369292283716e-36,1.74738492417597,1,0.477,1.50288866733439e-31,"15","DKK1"
"SULF12",2.28223183605091e-33,1.76124803607232,0.984,0.742,4.78127569652666e-29,"15","SULF1"
"PDPN1",1.70513289054065e-29,1.42945082734464,1,0.888,3.57225340568266e-25,"15","PDPN"
"TNC3",2.36161160041755e-28,1.53915437615886,1,0.812,4.94757630287476e-24,"15","TNC"
"LTF",6.38834029311684e-25,1.2007584822315,0.635,0.159,1.33835729140798e-20,"15","LTF"
"PTGDS5",9.20928125142459e-23,1.2877046642422,1,0.77,1.92934442217345e-18,"15","PTGDS"
"GALNT152",9.87228425686308e-21,0.890434826708022,0.778,0.304,2.06824355181282e-16,"15","GALNT15"
"CHODL1",4.10996603297788e-20,0.858457735245659,0.651,0.206,8.61037883908866e-16,"15","CHODL"
"GPX34",3.5074062309698e-19,1.10590519842664,0.968,0.76,7.34801605388173e-15,"15","GPX3"
"CDH22",3.91660692547217e-19,0.922971406085872,0.984,0.873,8.2052915088642e-15,"15","CDH2"
"CP3",5.73642509447522e-19,1.05844202187561,0.968,0.568,1.20178105729256e-14,"15","CP"
"ICAM12",2.1082667747569e-18,0.996068062628509,0.873,0.512,4.41681889311571e-14,"15","ICAM1"
"CTHRC13",2.31318696939236e-18,0.892793851421363,0.73,0.275,4.84612670087699e-14,"15","CTHRC1"
"PCSK12",4.29898008643132e-18,0.914107356088355,0.778,0.32,9.00636328107362e-14,"15","PCSK1"
"WTAP2",2.20114624484096e-17,0.828291430024678,0.841,0.42,4.61140138294181e-13,"15","WTAP"
"RARRES22",4.86274451857203e-17,0.795751338472415,0.714,0.279,1.01874497664084e-12,"15","RARRES2"
"SRPX5",4.90970098937253e-17,0.940567303514407,1,0.728,1.02858235727354e-12,"15","SRPX"
"COL8A12",7.60895568751602e-17,0.781152091889016,1,0.872,1.59407621653461e-12,"15","COL8A1"
"SPOCD12",3.76936746508659e-16,0.842346383181682,0.984,0.881,7.8968248393564e-12,"15","SPOCD1"
"NCAM22",1.2130554790893e-15,0.602353823320482,0.635,0.221,2.54135122869208e-11,"15","NCAM2"
"THBS23",1.85862985406664e-15,0.715643999660803,0.746,0.318,3.89382954426962e-11,"15","THBS2"
"TMOD12",8.55161054413318e-15,0.786811886699229,0.921,0.662,1.7915624089959e-10,"15","TMOD1"
"COL13A12",1.86367824439793e-14,0.672028178846926,0.762,0.32,3.90440592201366e-10,"15","COL13A1"
"NFKBIZ2",2.33028405007166e-14,0.694680885415515,0.683,0.283,4.88194508490012e-10,"15","NFKBIZ"
"NFKBIA1",2.61238738524384e-14,0.587458337106507,0.937,0.628,5.47295157208584e-10,"15","NFKBIA"
"CLDND13",3.6756909930017e-14,0.696946325329519,0.905,0.641,7.70057263033856e-10,"15","CLDND1"
"NEK61",5.9250411797382e-14,0.724751604469866,0.921,0.73,1.24129612715515e-09,"15","NEK6"
"VCAM11",1.23618633587973e-13,0.586234157957205,0.667,0.272,2.58981037366803e-09,"15","VCAM1"
"LTBP14",1.54705535880718e-13,0.731985881705963,0.746,0.374,3.24108097670104e-09,"15","LTBP1"
"SLC38A1",2.96431767320397e-13,0.507599023695898,0.635,0.231,6.21024552536232e-09,"15","SLC38A1"
"PDLIM32",3.24807083657159e-13,0.864127997554053,0.905,0.664,6.80470840261749e-09,"15","PDLIM3"
"STEAP31",1.22870878057171e-12,0.777037889075433,0.921,0.696,2.57414489529774e-08,"15","STEAP3"
